# isolated cylinder: grid 96×96 (8/D), domain 12×12 D, Re_D=100, nu=1.000e-2, dt=5.000e-2
# cut cells: 32 solid, 28 cut; no-slip aperture-resolved; merge floor 0.25; CFL 0.4; cg_tol None; cg_max_iter 5760
# trigger: transverse seed eps=0.3 sigma=0.75 D at (4.0,6.0) D
step,t,max_speed,interior_div,v_probe
7,0.3500,1.78166e0,1.78e-15,1.152401e-1
14,0.7000,1.79251e0,1.78e-15,1.120670e-1
21,1.0500,1.77216e0,1.85e-15,8.628846e-2
28,1.4000,1.74777e0,1.78e-15,4.314813e-2
35,1.7500,1.72106e0,1.78e-15,-1.070868e-2
42,2.1000,1.69945e0,1.78e-15,-6.767731e-2
49,2.4500,1.68165e0,1.85e-15,-1.206034e-1
56,2.8000,1.66250e0,1.78e-15,-1.621680e-1
63,3.1500,1.65396e0,1.78e-15,-1.855586e-1
70,3.5000,1.65274e0,1.78e-15,-1.863029e-1
77,3.8500,1.64933e0,1.78e-15,-1.633432e-1
84,4.2000,1.64409e0,1.78e-15,-1.188619e-1
91,4.5500,1.63647e0,1.85e-15,-5.779818e-2
98,4.9000,1.62645e0,1.78e-15,1.284143e-2
105,5.2500,1.61454e0,1.78e-15,8.513835e-2
112,5.6000,1.60126e0,1.78e-15,1.514287e-1
119,5.9500,1.58722e0,1.78e-15,2.048788e-1
126,6.3000,1.58694e0,1.78e-15,2.396027e-1
133,6.6500,1.59248e0,2.22e-15,2.510081e-1
140,7.0000,1.59683e0,1.78e-15,2.366054e-1
147,7.3500,1.59923e0,1.78e-15,1.968820e-1
154,7.7000,1.59913e0,1.78e-15,1.356323e-1
161,8.0500,1.59628e0,1.78e-15,5.944005e-2
168,8.4000,1.59068e0,1.78e-15,-2.346640e-2
175,8.7500,1.58260e0,1.78e-15,-1.044270e-1
182,9.1000,1.57257e0,1.78e-15,-1.752012e-1
189,9.4500,1.56129e0,2.22e-15,-2.284349e-1
196,9.8000,1.56765e0,1.78e-15,-2.580100e-1
203,10.1500,1.57746e0,1.78e-15,-2.595512e-1
210,10.5000,1.58586e0,1.78e-15,-2.312009e-1
217,10.8500,1.59187e0,1.78e-15,-1.745042e-1
224,11.2000,1.59471e0,1.78e-15,-9.487879e-2
231,11.5500,1.59394e0,2.00e-15,-1.055797e-3
238,11.9000,1.58950e0,1.78e-15,9.648736e-2
245,12.2500,1.58172e0,1.78e-15,1.873169e-1
252,12.6000,1.57132e0,1.78e-15,2.622023e-1
259,12.9500,1.56651e0,1.78e-15,3.132683e-1
266,13.3000,1.58202e0,1.78e-15,3.335238e-1
273,13.6500,1.59625e0,1.78e-15,3.170234e-1
280,14.0000,1.60758e0,1.78e-15,2.609104e-1
287,14.3500,1.61466e0,1.78e-15,1.686934e-1
294,14.7000,1.61662e0,1.78e-15,5.167899e-2
301,15.0500,1.61317e0,1.78e-15,-7.366396e-2
308,15.4000,1.60470e0,1.78e-15,-1.903964e-1
315,15.7500,1.59228e0,1.78e-15,-2.841476e-1
322,16.1000,1.58616e0,1.78e-15,-3.433091e-1
329,16.4500,1.60515e0,1.78e-15,-3.581869e-1
336,16.8000,1.62150e0,1.78e-15,-3.225905e-1
343,17.1500,1.63316e0,2.66e-15,-2.388048e-1
350,17.5000,1.63869e0,1.78e-15,-1.201543e-1
357,17.8500,1.63738e0,1.78e-15,1.378458e-2
364,18.2000,1.62939e0,1.78e-15,1.439111e-1
371,18.5500,1.61567e0,1.85e-15,2.541522e-1
378,18.9000,1.59804e0,1.78e-15,3.315973e-1
385,19.2500,1.60781e0,1.78e-15,3.661538e-1
392,19.6000,1.62568e0,1.78e-15,3.504657e-1
399,19.9500,1.63892e0,1.78e-15,2.826539e-1
406,20.3000,1.64593e0,1.78e-15,1.708727e-1
413,20.6500,1.64595e0,1.78e-15,3.321986e-2
420,21.0000,1.63894e0,1.78e-15,-1.085493e-1
427,21.3500,1.62557e0,1.78e-15,-2.348309e-1
434,21.7000,1.60746e0,1.78e-15,-3.298384e-1
441,22.0500,1.60128e0,2.22e-15,-3.810811e-1
448,22.4000,1.62040e0,1.78e-15,-3.793287e-1
455,22.7500,1.63561e0,1.78e-15,-3.218992e-1
462,23.1000,1.64510e0,2.22e-15,-2.174589e-1
469,23.4500,1.64787e0,1.85e-15,-8.441501e-2
476,23.8000,1.64357e0,1.78e-15,5.707702e-2
483,24.1500,1.63252e0,1.78e-15,1.896185e-1
490,24.5000,1.61588e0,1.78e-15,2.983035e-1
497,24.8500,1.59582e0,1.78e-15,3.705959e-1
504,25.2000,1.61382e0,1.78e-15,3.961351e-1
511,25.5500,1.63143e0,1.78e-15,3.672421e-1
518,25.9000,1.64382e0,1.78e-15,2.834037e-1
525,26.2500,1.64960e0,1.80e-15,1.563285e-1
532,26.6000,1.64814e0,1.78e-15,7.386483e-3
539,26.9500,1.63958e0,1.78e-15,-1.408417e-1
546,27.3000,1.62476e0,2.22e-15,-2.695012e-1
553,27.6500,1.60549e0,1.78e-15,-3.632829e-1
560,28.0000,1.60760e0,1.78e-15,-4.091535e-1
567,28.3500,1.62728e0,2.22e-15,-3.972692e-1
574,28.7000,1.64235e0,2.22e-15,-3.263881e-1
581,29.0500,1.65100e0,1.78e-15,-2.089211e-1
588,29.4000,1.65230e0,1.85e-15,-6.624058e-2
595,29.7500,1.64616e0,1.78e-15,8.112854e-2
602,30.1000,1.63320e0,1.78e-15,2.162873e-1
609,30.4500,1.61491e0,1.89e-15,3.243419e-1
616,30.8000,1.60112e0,1.78e-15,3.922287e-1
623,31.1500,1.62203e0,1.78e-15,4.087368e-1
630,31.5000,1.63921e0,1.78e-15,3.663791e-1
637,31.8500,1.65041e0,1.78e-15,2.675038e-1
644,32.2000,1.65439e0,1.78e-15,1.281548e-1
651,32.5500,1.65077e0,1.78e-15,-2.776594e-2
658,32.9000,1.63995e0,1.78e-15,-1.776653e-1
665,33.2500,1.62312e0,1.78e-15,-3.032834e-1
672,33.6000,1.60238e0,1.78e-15,-3.893529e-1
679,33.9500,1.61551e0,1.89e-15,-4.226284e-1
686,34.3000,1.63457e0,1.78e-15,-3.943726e-1
693,34.6500,1.64826e0,1.78e-15,-3.071825e-1
700,35.0000,1.65499e0,1.78e-15,-1.779229e-1
707,35.3500,1.65408e0,2.66e-15,-2.931444e-2
714,35.7000,1.64567e0,2.22e-15,1.191399e-1
721,36.0500,1.63064e0,1.78e-15,2.511877e-1
728,36.4000,1.61077e0,1.78e-15,3.520756e-1
735,36.7500,1.60838e0,2.66e-15,4.087667e-1
742,37.1000,1.62881e0,1.78e-15,4.101927e-1
749,37.4500,1.64469e0,1.78e-15,3.506014e-1
756,37.8000,1.65402e0,1.78e-15,2.364312e-1
763,38.1500,1.65584e0,1.85e-15,8.761609e-2
770,38.5000,1.64999e0,1.78e-15,-7.102319e-2
777,38.8500,1.63710e0,1.78e-15,-2.179475e-1
784,39.2000,1.61863e0,2.22e-15,-3.358172e-1
791,39.5500,1.60072e0,1.78e-15,-4.096824e-1
798,39.9000,1.62227e0,1.78e-15,-4.267303e-1
805,40.2500,1.64021e0,2.22e-15,-3.804696e-1
812,40.6000,1.65214e0,1.78e-15,-2.779904e-1
819,40.9500,1.65674e0,2.22e-15,-1.395852e-1
826,41.3000,1.65358e0,1.78e-15,1.213468e-2
833,41.6500,1.64301e0,1.78e-15,1.589008e-1
840,42.0000,1.62618e0,1.78e-15,2.849175e-1
847,42.3500,1.60520e0,1.78e-15,3.757120e-1
854,42.7000,1.61524e0,1.78e-15,4.184731e-1
861,43.0500,1.63478e0,1.78e-15,4.027986e-1
868,43.4000,1.64901e0,1.78e-15,3.256688e-1
875,43.7500,1.65626e0,1.78e-15,1.980160e-1
882,44.1000,1.65580e0,1.78e-15,4.269737e-2
889,44.4500,1.64771e0,1.85e-15,-1.156848e-1
896,44.8000,1.63288e0,1.78e-15,-2.568937e-1
903,45.1500,1.61304e0,1.78e-15,-3.643657e-1
910,45.5000,1.60766e0,1.78e-15,-4.234869e-1
917,45.8500,1.62857e0,1.78e-15,-4.224225e-1
924,46.2000,1.64502e0,1.78e-15,-3.579586e-1
931,46.5500,1.65493e0,1.85e-15,-2.419120e-1
938,46.9000,1.65724e0,1.85e-15,-9.677716e-2
945,47.2500,1.65178e0,1.78e-15,5.586996e-2
952,47.6000,1.63913e0,1.85e-15,1.988210e-1
959,47.9500,1.62071e0,2.00e-15,3.165993e-1
966,48.3000,1.60003e0,1.78e-15,3.951011e-1
973,48.6500,1.62176e0,1.78e-15,4.218920e-1
980,49.0000,1.64003e0,2.22e-15,3.878802e-1
987,49.3500,1.65237e0,2.22e-15,2.936857e-1
994,49.7000,1.65737e0,1.78e-15,1.546764e-1
1001,50.0500,1.65458e0,1.78e-15,-4.504500e-3
1008,50.4000,1.64432e0,1.78e-15,-1.602352e-1
1015,50.7500,1.62771e0,1.78e-15,-2.935651e-1
1022,51.1000,1.60680e0,2.22e-15,-3.885730e-1
1029,51.4500,1.61438e0,1.78e-15,-4.311004e-1
1036,51.8000,1.63430e0,1.78e-15,-4.109626e-1
1043,52.1500,1.64901e0,1.78e-15,-3.290532e-1
1050,52.5000,1.65674e0,1.78e-15,-2.015561e-1
1057,52.8500,1.65671e0,2.66e-15,-5.185776e-2
1064,53.2000,1.64898e0,1.78e-15,9.990314e-2
1071,53.5500,1.63438e0,1.78e-15,2.372719e-1
1078,53.9000,1.61462e0,1.78e-15,3.450854e-1
1085,54.2500,1.60682e0,1.85e-15,4.096725e-1
1092,54.6000,1.62788e0,1.78e-15,4.191552e-1
1099,54.9500,1.64461e0,1.78e-15,3.664608e-1
1106,55.3000,1.65487e0,1.78e-15,2.564823e-1
1113,55.6500,1.65756e0,1.78e-15,1.084987e-1
1120,56.0000,1.65246e0,1.78e-15,-5.217300e-2
1127,56.3500,1.64012e0,2.22e-15,-2.032754e-1
1134,56.7000,1.62193e0,2.00e-15,-3.269781e-1
1141,57.0500,1.60025e0,1.78e-15,-4.078881e-1
1148,57.4000,1.62085e0,1.78e-15,-4.325162e-1
1155,57.7500,1.63948e0,1.78e-15,-3.930896e-1
1162,58.1000,1.65225e0,2.66e-15,-2.951530e-1
1169,58.4500,1.65770e0,1.78e-15,-1.584412e-1
1176,58.8000,1.65532e0,1.78e-15,-6.102009e-3
1183,59.1500,1.64539e0,1.85e-15,1.431605e-1
1190,59.5000,1.62901e0,1.78e-15,2.733820e-1
1197,59.8500,1.60815e0,1.78e-15,3.697693e-1
1204,60.2000,1.61348e0,1.78e-15,4.191076e-1
1211,60.5500,1.63355e0,1.78e-15,4.103600e-1
1218,60.9000,1.64853e0,1.78e-15,3.392446e-1
1225,61.2500,1.65660e0,1.78e-15,2.152489e-1
1232,61.6000,1.65694e0,2.00e-15,6.070990e-2
1239,61.9500,1.64956e0,1.78e-15,-9.932082e-2
1246,62.3000,1.63527e0,1.78e-15,-2.440551e-1
1253,62.6500,1.61573e0,1.78e-15,-3.565818e-1
1260,63.0000,1.60567e0,1.78e-15,-4.219790e-1
1267,63.3500,1.62698e0,1.78e-15,-4.277846e-1
1274,63.7000,1.64408e0,1.78e-15,-3.694480e-1
1281,64.0500,1.65476e0,1.78e-15,-2.573293e-1
1288,64.4000,1.65788e0,1.78e-15,-1.135884e-1
1295,64.7500,1.65316e0,1.78e-15,3.966788e-2
1302,65.1000,1.64114e0,1.78e-15,1.849222e-1
1309,65.4500,1.62315e0,1.78e-15,3.065549e-1
1316,65.8000,1.60148e0,1.78e-15,3.902097e-1
1323,66.1500,1.61992e0,1.78e-15,4.231539e-1
1330,66.5000,1.63873e0,1.78e-15,3.956290e-1
1337,66.8500,1.65178e0,1.78e-15,3.068950e-1
1344,67.2000,1.65757e0,1.85e-15,1.709832e-1
1351,67.5500,1.65555e0,1.78e-15,1.224431e-2
1358,67.9000,1.64598e0,1.78e-15,-1.452156e-1
1365,68.2500,1.62989e0,1.78e-15,-2.819958e-1
1372,68.6000,1.60923e0,1.78e-15,-3.819180e-1
1379,68.9500,1.61236e0,2.22e-15,-4.305564e-1
1386,69.3000,1.63271e0,1.78e-15,-4.169960e-1
1393,69.6500,1.64806e0,1.78e-15,-3.406662e-1
1400,70.0000,1.65655e0,1.78e-15,-2.164688e-1
1407,70.3500,1.65730e0,1.78e-15,-6.774687e-2
1414,70.7000,1.65030e0,1.78e-15,8.484290e-2
1421,71.0500,1.63630e0,1.78e-15,2.246368e-1
1428,71.4000,1.61691e0,1.78e-15,3.363305e-1
1435,71.7500,1.60470e0,1.78e-15,4.060426e-1
1442,72.1000,1.62606e0,1.85e-15,4.216097e-1
1449,72.4500,1.64337e0,1.78e-15,3.751446e-1
1456,72.8000,1.65435e0,1.78e-15,2.700752e-1
1463,73.1500,1.65782e0,2.22e-15,1.245430e-1
1470,73.5000,1.65346e0,1.78e-15,-3.616484e-2
1477,73.8500,1.64178e0,1.78e-15,-1.892851e-1
1484,74.2000,1.62406e0,1.78e-15,-3.166238e-1
1491,74.5500,1.60256e0,1.78e-15,-4.025896e-1
1498,74.9000,1.61885e0,2.00e-15,-4.333912e-1
# shedding: period 5.8464, St = f·D/U ≈ 0.1710  (Williamson Re=100 ≈ 0.164)
# drag (cycle mean over 42 samples): C_d ≈ 1.345 (pressure 1.173 + friction 0.172), C_l ≈ -0.007, C_d swing [1.338, 1.353]  (ref C_d ≈ 1.24–1.33, friction ≈ 25%)

--- isolated-cylinder gates (Re_D = 100, 8 cells/D) ---
  [PASS] [tripwire] shedding detected: St = 0.1710
  [PASS] [tripwire] cycle-mean drag measured: C_d = 1.345
  [PASS] [tripwire] St 0.1710 in [0.152, 0.19]  (reference: Williamson 0.164, measured is +4.3 % — this grid is below reference quality)
  [PASS] [tripwire] C_d 1.345 in [1.21, 1.48]  (reference band: Dröge–Verstappen / Lehmkuhl 1.24–1.33, measured is +1.2 % relative to the band top)
=== All isolated-cylinder gates passed. ===
