step,t,max_speed,interior_div,v_probe
20,0.5000,1.72349e0,7.12e-13,1.340314e-1
40,1.0000,1.69647e0,5.85e-13,1.087938e-1
60,1.5000,1.67330e0,4.53e-13,5.221943e-2
80,2.0000,1.64930e0,5.67e-13,-2.063092e-2
100,2.5000,1.63010e0,5.21e-13,-8.264106e-2
120,3.0000,1.61862e0,5.30e-13,-1.074672e-1
140,3.5000,1.61521e0,4.39e-13,-9.030710e-2
160,4.0000,1.61269e0,4.96e-13,-4.723810e-2
180,4.5000,1.60430e0,4.39e-13,-2.542624e-3
200,5.0000,1.59843e0,5.03e-13,2.368987e-2
220,5.5000,1.59534e0,4.94e-13,2.548904e-2
240,6.0000,1.59267e0,5.47e-13,1.072909e-2
260,6.5000,1.59020e0,6.25e-13,-7.779747e-3
280,7.0000,1.58808e0,5.35e-13,-2.003874e-2
300,7.5000,1.58692e0,4.54e-13,-2.224350e-2
320,8.0000,1.58605e0,5.09e-13,-1.641693e-2
340,8.5000,1.58499e0,5.61e-13,-7.723233e-3
360,9.0000,1.58463e0,6.57e-13,-1.227085e-3
380,9.5000,1.58430e0,5.27e-13,4.456065e-4
400,10.0000,1.58379e0,5.58e-13,-2.229100e-3
420,10.5000,1.58311e0,5.77e-13,-6.671830e-3
440,11.0000,1.58253e0,7.03e-13,-1.003590e-2
460,11.5000,1.58250e0,4.93e-13,-1.071887e-2
480,12.0000,1.58236e0,6.22e-13,-8.850857e-3
500,12.5000,1.58212e0,5.71e-13,-5.832171e-3
520,13.0000,1.58186e0,6.36e-13,-3.395234e-3
540,13.5000,1.58165e0,5.41e-13,-2.696750e-3
560,14.0000,1.58152e0,5.14e-13,-3.855026e-3
580,14.5000,1.58142e0,4.48e-13,-6.084012e-3
600,15.0000,1.58130e0,5.00e-13,-8.243916e-3
620,15.5000,1.58116e0,5.60e-13,-9.450743e-3
640,16.0000,1.58100e0,6.49e-13,-9.431191e-3
660,16.5000,1.58085e0,6.49e-13,-8.514509e-3
680,17.0000,1.58087e0,4.80e-13,-7.337949e-3
700,17.5000,1.58089e0,5.34e-13,-6.478004e-3
720,18.0000,1.58089e0,6.48e-13,-6.211144e-3
740,18.5000,1.58086e0,5.04e-13,-6.475111e-3
760,19.0000,1.58079e0,5.49e-13,-6.981178e-3
780,19.5000,1.58071e0,5.55e-13,-7.395635e-3
800,20.0000,1.58071e0,4.81e-13,-7.499503e-3
820,20.5000,1.58075e0,6.25e-13,-7.263940e-3
840,21.0000,1.58077e0,4.58e-13,-6.829552e-3
860,21.5000,1.58075e0,5.05e-13,-6.417788e-3
880,22.0000,1.58069e0,4.53e-13,-6.219904e-3
900,22.5000,1.58063e0,5.87e-13,-6.312319e-3
920,23.0000,1.58062e0,5.63e-13,-6.634540e-3
940,23.5000,1.58062e0,4.68e-13,-7.025255e-3
960,24.0000,1.58062e0,4.95e-13,-7.303587e-3
980,24.5000,1.58066e0,7.01e-13,-7.353190e-3
1000,25.0000,1.58070e0,6.71e-13,-7.169036e-3
1020,25.5000,1.58070e0,6.80e-13,-6.854546e-3
1040,26.0000,1.58068e0,7.26e-13,-6.565870e-3
1060,26.5000,1.58065e0,7.08e-13,-6.433913e-3
1080,27.0000,1.58062e0,6.79e-13,-6.507045e-3
1100,27.5000,1.58061e0,7.67e-13,-6.732533e-3
1120,28.0000,1.58062e0,6.55e-13,-6.991369e-3
1140,28.5000,1.58064e0,7.67e-13,-7.161980e-3
1160,29.0000,1.58065e0,6.62e-13,-7.178332e-3
1180,29.5000,1.58066e0,7.55e-13,-7.054941e-3
1200,30.0000,1.58065e0,6.83e-13,-6.871661e-3
1220,30.5000,1.58063e0,9.30e-13,-6.726412e-3
1240,31.0000,1.58061e0,6.21e-13,-6.683811e-3
1260,31.5000,1.58061e0,6.04e-13,-6.750176e-3
1280,32.0000,1.58061e0,8.09e-13,-6.876242e-3
1300,32.5000,1.58062e0,6.82e-13,-6.989567e-3
1320,33.0000,1.58063e0,5.64e-13,-7.034884e-3
1340,33.5000,1.58064e0,5.85e-13,-6.996795e-3
1360,34.0000,1.58064e0,6.90e-13,-6.903999e-3
1380,34.5000,1.58063e0,7.05e-13,-6.808421e-3
1400,35.0000,1.58063e0,6.17e-13,-6.755494e-3
1420,35.5000,1.58062e0,7.67e-13,-6.764155e-3
1440,36.0000,1.58062e0,6.68e-13,-6.821137e-3
1460,36.5000,1.58063e0,6.40e-13,-6.891685e-3
1480,37.0000,1.58063e0,6.65e-13,-6.940539e-3
1500,37.5000,1.58063e0,6.44e-13,-6.949096e-3
1520,38.0000,1.58063e0,1.03e-12,-6.919955e-3
1540,38.5000,1.58063e0,6.12e-13,-6.873652e-3
1560,39.0000,1.58063e0,6.12e-13,-6.835567e-3
1580,39.5000,1.58063e0,7.37e-13,-6.821928e-3
1600,40.0000,1.58063e0,5.88e-13,-6.834854e-3
1620,40.5000,1.58063e0,5.93e-13,-6.864101e-3
1640,41.0000,1.58063e0,5.70e-13,-6.892847e-3
1660,41.5000,1.58063e0,6.03e-13,-6.907511e-3
1680,42.0000,1.58063e0,7.26e-13,-6.904195e-3
1700,42.5000,1.58063e0,6.32e-13,-6.887520e-3
1720,43.0000,1.58063e0,6.13e-13,-6.867511e-3
1740,43.5000,1.58063e0,5.44e-13,-6.854595e-3
1760,44.0000,1.58063e0,6.61e-13,-6.853380e-3
1780,44.5000,1.58063e0,6.41e-13,-6.862381e-3
1800,45.0000,1.58063e0,6.91e-13,-6.875949e-3
1820,45.5000,1.58063e0,5.94e-13,-6.887138e-3
