# cut-cell cylinder wake: grid 93×32, D/H=0.25, Re_D=100, nu=2.500e-3, dt=2.081e-2
# cells: 33 solid, 32 cut; fluid area 2.9509; merge floor 0.25
# sensor-fed top wall: U≈1 (1σ 0.03), dropout every 50 steps (40 total)
step,t,kinetic_energy,max_speed,div_residual,v_probe
10,0.20812,5.166202e1,9.998746e-1,1.538e-15,-9.064127e-15
20,0.41623,5.847768e1,1.000228e0,1.607e-15,3.836049e-11
30,0.62435,6.445733e1,9.998992e-1,2.947e-15,1.636834e-9
40,0.83247,6.978542e1,1.000036e0,2.841e-15,1.973273e-8
50,1.04058,7.453886e1,9.996278e-1,2.915e-15,1.209271e-7
60,1.24870,7.895876e1,9.999304e-1,2.942e-15,4.882170e-7
70,1.45682,8.308314e1,1.000453e0,2.770e-15,1.489874e-6
80,1.66493,8.688180e1,1.000221e0,3.102e-15,3.727948e-6
90,1.87305,9.046602e1,1.000012e0,3.129e-15,8.056027e-6
100,2.08117,9.391431e1,1.000245e0,3.153e-15,1.557011e-5
110,2.28928,9.714997e1,9.999705e-1,3.050e-15,2.758286e-5
120,2.49740,1.002678e2,9.998717e-1,3.066e-15,4.559161e-5
130,2.70552,1.032494e2,9.996142e-1,2.983e-15,7.124691e-5
140,2.91363,1.061780e2,9.999786e-1,2.952e-15,1.063252e-4
150,3.12175,1.089797e2,9.999981e-1,2.830e-15,1.527066e-4
160,3.32986,1.117087e2,1.000193e0,3.250e-15,2.123565e-4
170,3.53798,1.143253e2,1.000081e0,3.120e-15,2.873109e-4
180,3.74610,1.168980e2,1.000276e0,3.185e-15,3.796617e-4
190,3.95421,1.193495e2,9.998875e-1,3.194e-15,4.915426e-4
200,4.16233,1.217761e2,9.999060e-1,3.184e-15,6.251088e-4
210,4.37045,1.241666e2,1.000245e0,3.096e-15,7.825120e-4
220,4.57856,1.264302e2,9.997613e-1,3.285e-15,9.658706e-4
230,4.78668,1.287154e2,1.000101e0,3.296e-15,1.177227e-3
240,4.99480,1.308874e2,9.997142e-1,3.150e-15,1.418502e-3
250,5.20291,1.330423e2,9.996815e-1,3.153e-15,1.691439e-3
260,5.41103,1.352148e2,1.000333e0,3.118e-15,1.997541e-3
270,5.61915,1.372283e2,9.996816e-1,3.154e-15,2.338025e-3
280,5.82726,1.392827e2,9.999661e-1,3.223e-15,2.713746e-3
290,6.03538,1.413001e2,1.000239e0,3.127e-15,3.125158e-3
300,6.24350,1.432032e2,9.996450e-1,3.206e-15,3.572274e-3
310,6.45161,1.451302e2,9.997294e-1,3.128e-15,4.054611e-3
320,6.65973,1.470607e2,1.000253e0,3.268e-15,4.571187e-3
330,6.86785,1.488731e2,9.998543e-1,3.269e-15,5.120506e-3
340,7.07596,1.507293e2,1.000301e0,3.192e-15,5.700563e-3
350,7.28408,1.525239e2,1.000342e0,3.245e-15,6.308876e-3
360,7.49220,1.542447e2,9.999472e-1,3.061e-15,6.942515e-3
370,7.70031,1.559267e2,9.995157e-1,3.074e-15,7.598134e-3
380,7.90843,1.576679e2,9.999799e-1,3.165e-15,8.272058e-3
390,8.11655,1.593086e2,9.997119e-1,3.230e-15,8.960331e-3
400,8.32466,1.609770e2,1.000046e0,3.133e-15,9.658818e-3
410,8.53278,1.625469e2,9.996145e-1,3.090e-15,1.036327e-2
420,8.74089,1.641616e2,9.999616e-1,3.243e-15,1.106939e-2
430,8.94901,1.657268e2,1.000042e0,3.254e-15,1.177299e-2
440,9.15713,1.672318e2,9.997822e-1,3.251e-15,1.246998e-2
450,9.36524,1.687977e2,1.000413e0,3.116e-15,1.315650e-2
460,9.57336,1.702793e2,1.000405e0,3.132e-15,1.382896e-2
470,9.78148,1.717083e2,1.000120e0,3.238e-15,1.448411e-2
480,9.98959,1.731213e2,9.998985e-1,3.219e-15,1.511905e-2
490,10.19771,1.745500e2,1.000191e0,3.272e-15,1.573133e-2
500,10.40583,1.758883e2,9.997039e-1,3.194e-15,1.631890e-2
510,10.61394,1.773001e2,1.000306e0,3.105e-15,1.688017e-2
520,10.82206,1.785790e2,9.996531e-1,3.253e-15,1.741400e-2
530,11.03018,1.799456e2,1.000234e0,3.267e-15,1.791967e-2
540,11.23829,1.812192e2,1.000020e0,3.256e-15,1.839687e-2
550,11.44641,1.824474e2,9.996051e-1,3.126e-15,1.884568e-2
560,11.65453,1.837424e2,1.000078e0,3.289e-15,1.926650e-2
570,11.86264,1.849828e2,1.000241e0,3.077e-15,1.966006e-2
580,12.07076,1.861766e2,1.000065e0,3.107e-15,2.002736e-2
590,12.27888,1.873817e2,1.000280e0,3.250e-15,2.036960e-2
600,12.48699,1.885300e2,1.000086e0,3.215e-15,2.068817e-2
610,12.69511,1.896578e2,9.999190e-1,3.224e-15,2.098459e-2
620,12.90323,1.907838e2,9.999223e-1,3.181e-15,2.126046e-2
630,13.11134,1.918557e2,9.995536e-1,3.067e-15,2.151746e-2
640,13.31946,1.929876e2,1.000075e0,3.100e-15,2.175724e-2
650,13.52758,1.940701e2,1.000231e0,3.287e-15,2.198147e-2
660,13.73569,1.951043e2,1.000035e0,3.078e-15,2.219177e-2
670,13.94381,1.961720e2,1.000431e0,3.210e-15,2.238965e-2
680,14.15193,1.971674e2,1.000234e0,3.140e-15,2.257657e-2
690,14.36004,1.981345e2,9.999777e-1,3.223e-15,2.275384e-2
700,14.56816,1.991257e2,1.000126e0,3.174e-15,2.292268e-2
710,14.77627,2.000786e2,1.000062e0,3.175e-15,2.308418e-2
720,14.98439,2.010030e2,9.998936e-1,3.144e-15,2.323930e-2
730,15.19251,2.019756e2,1.000427e0,3.249e-15,2.338886e-2
740,15.40062,2.028399e2,9.998994e-1,3.165e-15,2.353359e-2
750,15.60874,2.037265e2,9.998854e-1,3.139e-15,2.367405e-2
760,15.81686,2.045913e2,9.998305e-1,3.188e-15,2.381069e-2
770,16.02497,2.054276e2,9.996021e-1,3.096e-15,2.394388e-2
780,16.23309,2.062787e2,9.997021e-1,3.172e-15,2.407389e-2
790,16.44121,2.071304e2,1.000032e0,3.171e-15,2.420089e-2
800,16.64932,2.079500e2,1.000148e0,3.285e-15,2.432500e-2
810,16.85744,2.087147e2,9.998700e-1,3.243e-15,2.444627e-2
820,17.06556,2.095246e2,1.000249e0,3.210e-15,2.456469e-2
830,17.27367,2.102822e2,1.000188e0,3.165e-15,2.468024e-2
840,17.48179,2.110083e2,9.999365e-1,3.158e-15,2.479288e-2
850,17.68991,2.117421e2,9.999734e-1,3.129e-15,2.490251e-2
860,17.89802,2.124637e2,1.000040e0,3.136e-15,2.500906e-2
870,18.10614,2.131836e2,1.000229e0,3.256e-15,2.511244e-2
880,18.31426,2.138091e2,9.995645e-1,3.178e-15,2.521261e-2
890,18.52237,2.145378e2,1.000177e0,3.267e-15,2.530951e-2
900,18.73049,2.151984e2,1.000192e0,3.188e-15,2.540314e-2
910,18.93861,2.158252e2,9.999757e-1,3.109e-15,2.549347e-2
920,19.14672,2.164340e2,9.997051e-1,3.210e-15,2.558054e-2
930,19.35484,2.171086e2,1.000299e0,3.236e-15,2.566436e-2
940,19.56296,2.176903e2,9.999951e-1,3.282e-15,2.574502e-2
950,19.77107,2.183008e2,1.000154e0,3.175e-15,2.582259e-2
960,19.97919,2.188800e2,1.000128e0,3.282e-15,2.589717e-2
970,20.18730,2.194801e2,1.000409e0,3.165e-15,2.596887e-2
980,20.39542,2.200187e2,1.000161e0,3.308e-15,2.603784e-2
990,20.60354,2.205833e2,1.000366e0,3.142e-15,2.610418e-2
1000,20.81165,2.211076e2,1.000216e0,3.100e-15,2.616806e-2
1010,21.01977,2.215805e2,9.997106e-1,3.148e-15,2.622960e-2
1020,21.22789,2.221299e2,1.000106e0,3.205e-15,2.628895e-2
1030,21.43600,2.226138e2,9.999118e-1,3.048e-15,2.634626e-2
1040,21.64412,2.231505e2,1.000381e0,3.233e-15,2.640166e-2
1050,21.85224,2.236239e2,1.000345e0,3.249e-15,2.645526e-2
1060,22.06035,2.240806e2,1.000216e0,3.061e-15,2.650718e-2
1070,22.26847,2.244989e2,9.997917e-1,3.214e-15,2.655748e-2
1080,22.47659,2.249553e2,9.998780e-1,3.235e-15,2.660627e-2
1090,22.68470,2.254311e2,1.000292e0,3.122e-15,2.665360e-2
1100,22.89282,2.258102e2,9.997609e-1,3.253e-15,2.669952e-2
1110,23.10094,2.262708e2,1.000240e0,3.133e-15,2.674406e-2
1120,23.30905,2.266750e2,1.000213e0,3.232e-15,2.678724e-2
1130,23.51717,2.270866e2,1.000309e0,3.238e-15,2.682910e-2
1140,23.72529,2.274743e2,1.000273e0,3.275e-15,2.686962e-2
1150,23.93340,2.278536e2,1.000248e0,3.328e-15,2.690880e-2
1160,24.14152,2.282324e2,1.000291e0,3.243e-15,2.694663e-2
1170,24.34964,2.285483e2,9.997671e-1,3.236e-15,2.698308e-2
1180,24.55775,2.288969e2,9.997433e-1,3.100e-15,2.701812e-2
1190,24.76587,2.292480e2,9.998180e-1,3.245e-15,2.705173e-2
1200,24.97399,2.296251e2,1.000236e0,3.130e-15,2.708392e-2
1210,25.18210,2.299150e2,9.997997e-1,3.234e-15,2.711467e-2
1220,25.39022,2.302526e2,9.999000e-1,3.214e-15,2.714398e-2
1230,25.59834,2.306014e2,1.000255e0,3.265e-15,2.717184e-2
1240,25.80645,2.308804e2,9.999118e-1,3.194e-15,2.719824e-2
1250,26.01457,2.312017e2,1.000130e0,3.186e-15,2.722314e-2
1260,26.22268,2.314530e2,9.996449e-1,3.021e-15,2.724657e-2
1270,26.43080,2.317915e2,1.000178e0,3.184e-15,2.726853e-2
1280,26.63892,2.320407e2,9.998421e-1,3.207e-15,2.728907e-2
1290,26.84703,2.323375e2,1.000068e0,3.236e-15,2.730821e-2
1300,27.05515,2.325753e2,9.997483e-1,3.074e-15,2.732599e-2
1310,27.26327,2.328565e2,9.999466e-1,3.191e-15,2.734243e-2
1320,27.47138,2.330857e2,9.996737e-1,3.126e-15,2.735758e-2
1330,27.67950,2.333904e2,1.000237e0,3.225e-15,2.737149e-2
1340,27.88762,2.336098e2,9.999797e-1,3.236e-15,2.738419e-2
1350,28.09573,2.338284e2,9.997899e-1,3.169e-15,2.739575e-2
1360,28.30385,2.341188e2,1.000423e0,3.222e-15,2.740618e-2
1370,28.51197,2.343493e2,1.000387e0,3.217e-15,2.741557e-2
1380,28.72008,2.345173e2,9.997839e-1,3.302e-15,2.742396e-2
1390,28.92820,2.347176e2,9.996578e-1,3.311e-15,2.743134e-2
1400,29.13632,2.349733e2,1.000137e0,3.124e-15,2.743777e-2
1410,29.34443,2.351245e2,9.995434e-1,3.136e-15,2.744329e-2
1420,29.55255,2.353945e2,1.000251e0,3.204e-15,2.744795e-2
1430,29.76067,2.355783e2,1.000083e0,3.269e-15,2.745178e-2
1440,29.96878,2.358094e2,1.000470e0,3.233e-15,2.745482e-2
1450,30.17690,2.359346e2,9.998063e-1,3.209e-15,2.745706e-2
1460,30.38502,2.361366e2,1.000033e0,3.210e-15,2.745851e-2
1470,30.59313,2.363293e2,1.000153e0,3.263e-15,2.745922e-2
1480,30.80125,2.365189e2,1.000329e0,3.230e-15,2.745922e-2
1490,31.00937,2.366731e2,1.000142e0,3.243e-15,2.745852e-2
1500,31.21748,2.368511e2,1.000242e0,3.308e-15,2.745715e-2
1510,31.42560,2.370033e2,1.000153e0,3.207e-15,2.745511e-2
1520,31.63371,2.371771e2,1.000328e0,3.334e-15,2.745241e-2
1530,31.84183,2.373062e2,1.000052e0,3.269e-15,2.744906e-2
1540,32.04995,2.374481e2,9.999636e-1,3.204e-15,2.744510e-2
