=== DEC-native 3D Taylor-Green at Re 1600 ===
grid 16^3, horizon t* = 10, precision f64

t_star,kinetic_energy_per_vol,dissipation_rate
0.0000,0.12024247,0.00000000
0.0785,0.12020751,0.00044514
0.1571,0.12017253,0.00044534
0.2356,0.12013751,0.00044588
0.3142,0.12010243,0.00044676
0.3927,0.12006724,0.00044797
0.4712,0.12003194,0.00044952
0.5498,0.11999648,0.00045140
0.6283,0.11996086,0.00045363
0.7069,0.11992503,0.00045620
0.7854,0.11988897,0.00045911
0.8639,0.11985265,0.00046236
0.9425,0.11981606,0.00046597
1.0210,0.11977915,0.00046993
1.0996,0.11974190,0.00047424
1.1781,0.11970429,0.00047891
1.2566,0.11966628,0.00048394
1.3352,0.11962785,0.00048934
1.4137,0.11958896,0.00049511
1.4923,0.11954959,0.00050125
1.5708,0.11950971,0.00050777
1.6493,0.11946929,0.00051466
1.7279,0.11942830,0.00052194
1.8064,0.11938670,0.00052960
1.8850,0.11934448,0.00053765
1.9635,0.11930159,0.00054609
2.0420,0.11925800,0.00055493
2.1206,0.11921369,0.00056416
2.1991,0.11916863,0.00057379
2.2777,0.11912277,0.00058382
2.3562,0.11907610,0.00059425
2.4347,0.11902858,0.00060508
2.5133,0.11898018,0.00061631
2.5918,0.11893086,0.00062794
2.6704,0.11888059,0.00063997
2.7489,0.11882935,0.00065241
2.8274,0.11877711,0.00066524
2.9060,0.11872382,0.00067847
2.9845,0.11866946,0.00069209
3.0631,0.11861401,0.00070610
3.1416,0.11855742,0.00072051
3.2201,0.11849967,0.00073529
3.2987,0.11844073,0.00075046
3.3772,0.11838056,0.00076600
3.4558,0.11831915,0.00078192
3.5343,0.11825646,0.00079820
3.6128,0.11819247,0.00081483
3.6914,0.11812713,0.00083182
3.7699,0.11806044,0.00084916
3.8485,0.11799236,0.00086683
3.9270,0.11792287,0.00088483
4.0055,0.11785193,0.00090316
4.0841,0.11777954,0.00092179
4.1626,0.11770565,0.00094074
4.2412,0.11763025,0.00095998
4.3197,0.11755332,0.00097950
4.3982,0.11747484,0.00099931
4.4768,0.11739478,0.00101938
4.5553,0.11731312,0.00103971
4.6338,0.11722984,0.00106028
4.7124,0.11714494,0.00108109
4.7909,0.11705837,0.00110213
4.8695,0.11697014,0.00112338
4.9480,0.11688023,0.00114483
5.0265,0.11678861,0.00116648
5.1051,0.11669528,0.00118831
5.1836,0.11660023,0.00121031
5.2622,0.11650343,0.00123246
5.3407,0.11640488,0.00125477
5.4192,0.11630457,0.00127720
5.4978,0.11620249,0.00129976
5.5763,0.11609862,0.00132244
5.6549,0.11599297,0.00134521
5.7334,0.11588552,0.00136807
5.8119,0.11577627,0.00139101
5.8905,0.11566522,0.00141401
5.9690,0.11555235,0.00143706
6.0476,0.11543767,0.00146015
6.1261,0.11532117,0.00148328
6.2046,0.11520286,0.00150642
6.2832,0.11508273,0.00152957
6.3617,0.11496078,0.00155271
6.4403,0.11483701,0.00157584
6.5188,0.11471143,0.00159894
6.5973,0.11458404,0.00162200
6.6759,0.11445484,0.00164501
6.7544,0.11432384,0.00166796
6.8330,0.11419104,0.00169084
6.9115,0.11405645,0.00171364
6.9900,0.11392008,0.00173634
7.0686,0.11378193,0.00175895
7.1471,0.11364202,0.00178144
7.2257,0.11350035,0.00180381
7.3042,0.11335693,0.00182605
7.3827,0.11321178,0.00184815
7.4613,0.11306490,0.00187011
7.5398,0.11291631,0.00189190
7.6184,0.11276602,0.00191353
7.6969,0.11261405,0.00193498
7.7754,0.11246041,0.00195625
7.8540,0.11230511,0.00197734
7.9325,0.11214817,0.00199822
8.0111,0.11198960,0.00201890
8.0896,0.11182943,0.00203937
8.1681,0.11166767,0.00205962
8.2467,0.11150433,0.00207965
8.3252,0.11133944,0.00209945
8.4038,0.11117302,0.00211901
8.4823,0.11100507,0.00213833
8.5608,0.11083563,0.00215740
8.6394,0.11066471,0.00217622
8.7179,0.11049233,0.00219479
8.7965,0.11031852,0.00221309
8.8750,0.11014328,0.00223114
8.9535,0.10996666,0.00224891
9.0321,0.10978865,0.00226641
9.1106,0.10960929,0.00228364
9.1892,0.10942861,0.00230059
9.2677,0.10924661,0.00231725
9.3462,0.10906333,0.00233364
9.4248,0.10887878,0.00234974
9.5033,0.10869299,0.00236555
9.5819,0.10850598,0.00238107
9.6604,0.10831778,0.00239629
9.7389,0.10812840,0.00241123
9.8175,0.10793787,0.00242587
9.8960,0.10774622,0.00244021
9.9746,0.10755346,0.00245426
10.0531,0.10735962,0.00246801

marched to t* = 10.05: E*/E0 = 0.8929, peak dissipation 0.002468 at t* = 10.05
compare the dissipation column against the published Re-1600 DNS curve (references.md).
  [PASS] [tripwire] kinetic energy monotonically non-increasing: max step-to-step rise 0.000e0 (tol 1.2e-10)
  [PASS] [tripwire] net dissipation over the horizon: E*/E0 = 0.8929
