bank,peak_heat,thermal_load,dwell,miss_traj,miss_t2,peak_ne
#units,deg,W/m2,J/m2,s,m,m,m^-3
7.5,2232531.8257255354,14590983.184689052,9.99999999999998,7.428590772705161,1.319090595827292,62296438363862650000
8,2232612.256004531,14591040.055988386,9.99999999999998,6.613715722521849,1.319090595827292,62304628549732835000
8.5,2232697.8375364346,14591100.56992764,9.99999999999998,5.8093684590768095,1.319090595827292,62313343580222180000
9,2232788.5632270896,14591164.721530927,9.99999999999998,5.020687746156089,1.319090595827292,62322582787558600000
9.5,2232884.425663516,14591232.505611004,9.99999999999998,4.256468372156589,1.319090595827292,62332345474999550000
10,2232985.4168510395,14591303.91656755,9.99999999999998,3.5326988559807537,1.319090595827292,62342630888578730000
10.5,2233091.5284604756,14591378.948558915,9.99999999999998,2.8801141205615837,1.319090595827292,62353438244753015000
11,2233202.7517291075,14591457.595443634,9.99999999999998,2.3586307558215145,1.319090595827292,62364766718377120000
11.5,2233319.077510794,14591539.850824518,9.99999999999998,2.0698851293107894,1.319090595827292,62376615447980640000
12,2233440.496141458,14591625.707919292,9.99999999999998,2.111639541333036,1.319090595827292,62388983522723210000
12.5,2233566.9976698095,14591715.15976364,9.99999999999998,2.4671703025071388,1.319090595827292,62401870005542930000
