frame,alt_km,plasma,rf
1,90.0,0.0,1.0
2,90.0,0.0,1.0
3,90.0,0.0,1.0
4,90.0,0.0,1.0
5,89.99,0.0,1.0
6,89.99,0.0,1.0
7,89.98,0.0001,1.0
8,89.97,0.0001,1.0
9,89.96,0.0001,1.0
10,89.96,0.0001,1.0
11,89.94,0.0002,1.0
12,89.93,0.0002,1.0
13,89.92,0.0002,1.0
14,89.91,0.0003,1.0
15,89.89,0.0003,1.0
16,89.88,0.0004,1.0
17,89.86,0.0004,1.0
18,89.84,0.0005,1.0
19,89.83,0.0005,1.0
20,89.81,0.0006,1.0
21,89.78,0.0007,1.0
22,89.76,0.0008,1.0
23,89.74,0.0008,1.0
24,89.72,0.0009,1.0
25,89.69,0.001,1.0
26,89.67,0.0011,1.0
27,89.64,0.0012,1.0
28,89.61,0.0013,1.0
29,89.59,0.0014,1.0
30,89.56,0.0015,1.0
31,89.53,0.0017,1.0
32,89.5,0.0018,1.0
33,89.46,0.0019,1.0
34,89.43,0.002,1.0
35,89.4,0.0022,1.0
36,89.36,0.0023,1.0
37,89.33,0.0025,1.0
38,89.29,0.0026,1.0
39,89.25,0.0028,1.0
40,89.22,0.0029,1.0
41,89.18,0.0031,1.0
42,89.14,0.0033,1.0
43,89.1,0.0035,1.0
44,89.06,0.0037,1.0
45,89.02,0.0039,1.0
46,88.97,0.0041,1.0
47,88.93,0.0043,1.0
48,88.89,0.0045,1.0
49,88.84,0.0047,1.0
50,88.79,0.0049,1.0
51,88.75,0.0052,1.0
52,88.7,0.0054,1.0
53,88.65,0.0057,1.0
54,88.6,0.0059,1.0
55,88.55,0.0062,1.0
56,88.5,0.0064,1.0
57,88.45,0.0067,1.0
58,88.4,0.007,1.0
59,88.35,0.0073,1.0
60,88.3,0.0076,1.0
61,88.24,0.0079,1.0
62,88.19,0.0082,1.0
63,88.13,0.0085,1.0
64,88.08,0.0088,1.0
65,88.02,0.0091,1.0
66,87.96,0.0095,1.0
67,87.91,0.0098,1.0
68,87.85,0.0102,1.0
69,87.79,0.0105,1.0
70,87.73,0.0109,1.0
71,87.67,0.0113,1.0
72,87.61,0.0117,1.0
73,87.55,0.0121,1.0
74,87.48,0.0125,1.0
75,87.42,0.0129,1.0
76,87.36,0.0133,1.0
77,87.3,0.0137,1.0
78,87.23,0.0141,1.0
79,87.17,0.0146,1.0
80,87.1,0.015,1.0
81,87.04,0.0155,1.0
82,86.97,0.016,1.0
83,86.9,0.0164,1.0
84,86.83,0.0169,1.0
85,86.77,0.0174,1.0
86,86.7,0.0179,1.0
87,86.63,0.0184,1.0
88,86.56,0.0189,1.0
89,86.49,0.0195,1.0
90,86.42,0.02,1.0
91,86.35,0.0205,1.0
92,86.28,0.0211,1.0
93,86.21,0.0217,1.0
94,86.14,0.0222,1.0
95,86.06,0.0228,1.0
96,85.99,0.0234,1.0
97,85.92,0.024,1.0
98,85.84,0.0246,1.0
