# deep_causality MixedGraph v1; vertices=44
src,dst,mark_src,mark_dst
5,4,Tail,Arrow
20,5,Tail,Arrow
28,31,Tail,Arrow
26,30,Tail,Arrow
43,4,Tail,Arrow
0,31,Tail,Arrow
19,4,Tail,Arrow
23,42,Tail,Arrow
33,31,Tail,Arrow
39,18,Tail,Arrow
16,15,Tail,Arrow
9,34,Tail,Arrow
17,30,Tail,Arrow
36,38,Tail,Arrow
2,18,Tail,Arrow
13,38,Tail,Arrow
6,39,Tail,Arrow
27,13,Tail,Arrow
24,13,Tail,Arrow
8,31,Tail,Arrow
28,4,Tail,Arrow
33,19,Tail,Arrow
0,4,Tail,Arrow
39,30,Tail,Arrow
9,42,Tail,Arrow
17,4,Tail,Arrow
40,5,Tail,Arrow
23,8,Tail,Arrow
13,5,Tail,Arrow
23,12,Tail,Arrow
2,30,Tail,Arrow
21,31,Tail,Arrow
24,26,Tail,Arrow
26,31,Tail,Arrow
8,19,Tail,Arrow
15,30,Tail,Arrow
23,33,Tail,Arrow
35,5,Tail,Arrow
43,19,Tail,Arrow
36,39,Tail,Arrow
39,4,Tail,Arrow
22,19,Tail,Arrow
8,39,Tail,Arrow
23,34,Tail,Arrow
16,36,Tail,Arrow
29,38,Tail,Arrow
41,19,Tail,Arrow
43,39,Tail,Arrow
16,28,Tail,Arrow
21,19,Tail,Arrow
22,39,Tail,Arrow
15,4,Tail,Arrow
41,39,Tail,Arrow
37,38,Tail,Arrow
7,31,Tail,Arrow
31,30,Tail,Arrow
9,8,Tail,Arrow
9,12,Tail,Arrow
11,13,Tail,Arrow
9,33,Tail,Arrow
26,4,Tail,Arrow
28,19,Tail,Arrow
36,18,Tail,Arrow
13,18,Tail,Arrow
14,26,Tail,Arrow
6,5,Tail,Arrow
0,19,Tail,Arrow
28,39,Tail,Arrow
7,19,Tail,Arrow
16,0,Tail,Arrow
31,4,Tail,Arrow
35,18,Tail,Arrow
5,38,Tail,Arrow
11,26,Tail,Arrow
32,31,Tail,Arrow
0,39,Tail,Arrow
15,31,Tail,Arrow
7,39,Tail,Arrow
43,38,Tail,Arrow
13,30,Tail,Arrow
19,38,Tail,Arrow
35,30,Tail,Arrow
32,19,Tail,Arrow
33,39,Tail,Arrow
36,5,Tail,Arrow
15,19,Tail,Arrow
43,5,Tail,Arrow
27,35,Tail,Arrow
22,5,Tail,Arrow
3,17,Tail,Arrow
24,35,Tail,Arrow
41,5,Tail,Arrow
35,4,Tail,Arrow
37,18,Tail,Arrow
2,4,Tail,Arrow
28,38,Tail,Arrow
26,19,Tail,Arrow
0,38,Tail,Arrow
9,22,Tail,Arrow
14,13,Tail,Arrow
17,38,Tail,Arrow
27,43,Tail,Arrow
21,39,Tail,Arrow
26,39,Tail,Arrow
24,43,Tail,Arrow
9,41,Tail,Arrow
28,5,Tail,Arrow
13,31,Tail,Arrow
9,25,Tail,Arrow
39,38,Tail,Arrow
0,5,Tail,Arrow
1,15,Tail,Arrow
43,18,Tail,Arrow
35,31,Tail,Arrow
3,2,Tail,Arrow
15,38,Tail,Arrow
14,35,Tail,Arrow
19,18,Tail,Arrow
20,31,Tail,Arrow
33,5,Tail,Arrow
36,30,Tail,Arrow
11,35,Tail,Arrow
23,22,Tail,Arrow
35,19,Tail,Arrow
43,30,Tail,Arrow
26,38,Tail,Arrow
23,41,Tail,Arrow
14,43,Tail,Arrow
8,5,Tail,Arrow
29,18,Tail,Arrow
36,4,Tail,Arrow
20,19,Tail,Arrow
13,4,Tail,Arrow
28,18,Tail,Arrow
32,39,Tail,Arrow
31,38,Tail,Arrow
23,25,Tail,Arrow
3,29,Tail,Arrow
11,43,Tail,Arrow
15,39,Tail,Arrow
0,18,Tail,Arrow
6,31,Tail,Arrow
1,36,Tail,Arrow
20,39,Tail,Arrow
1,28,Tail,Arrow
17,18,Tail,Arrow
21,5,Tail,Arrow
26,5,Tail,Arrow
29,30,Tail,Arrow
3,37,Tail,Arrow
28,30,Tail,Arrow
6,19,Tail,Arrow
0,30,Tail,Arrow
40,31,Tail,Arrow
37,30,Tail,Arrow
29,4,Tail,Arrow
5,18,Tail,Arrow
36,31,Tail,Arrow
15,18,Tail,Arrow
35,38,Tail,Arrow
43,31,Tail,Arrow
7,5,Tail,Arrow
1,0,Tail,Arrow
22,31,Tail,Arrow
2,38,Tail,Arrow
41,31,Tail,Arrow
37,4,Tail,Arrow
27,26,Tail,Arrow
40,19,Tail,Arrow
36,19,Tail,Arrow
5,30,Tail,Arrow
13,19,Tail,Arrow
26,18,Tail,Arrow
40,39,Tail,Arrow
13,39,Tail,Arrow
31,18,Tail,Arrow
32,5,Tail,Arrow
15,5,Tail,Arrow
19,30,Tail,Arrow
35,39,Tail,Arrow
